# Date,Value
1970-01,nan
1970-02,nan
1970-03,nan
1970-04,nan
1970-05,nan
1970-06,nan
1970-07,nan
1970-08,nan
1970-09,nan
1970-10,nan
1970-11,nan
1970-12,nan
1971-01,nan
1971-02,nan
1971-03,nan
1971-04,nan
1971-05,nan
1971-06,nan
1971-07,nan
1971-08,nan
1971-09,nan
1971-10,nan
1971-11,nan
1971-12,nan
1972-01,nan
1972-02,nan
1972-03,nan
1972-04,nan
1972-05,nan
1972-06,nan
1972-07,nan
1972-08,nan
1972-09,nan
1972-10,nan
1972-11,nan
1972-12,nan
1973-01,nan
1973-02,nan
1973-03,nan
1973-04,nan
1973-05,nan
1973-06,nan
1973-07,nan
1973-08,nan
1973-09,nan
1973-10,nan
1973-11,nan
1973-12,nan
1974-01,nan
1974-02,nan
1974-03,nan
1974-04,nan
1974-05,nan
1974-06,nan
1974-07,nan
1974-08,nan
1974-09,nan
1974-10,nan
1974-11,nan
1974-12,0.019
1975-01,nan
1975-02,nan
1975-03,nan
1975-04,nan
1975-05,nan
1975-06,nan
1975-07,nan
1975-08,nan
1975-09,nan
1975-10,nan
1975-11,nan
1975-12,nan
1976-01,nan
1976-02,nan
1976-03,nan
1976-04,nan
1976-05,nan
1976-06,nan
1976-07,nan
1976-08,nan
1976-09,nan
1976-10,nan
1976-11,nan
1976-12,nan
1977-01,nan
1977-02,nan
1977-03,nan
1977-04,nan
1977-05,nan
1977-06,nan
1977-07,nan
1977-08,nan
1977-09,nan
1977-10,nan
1977-11,nan
1977-12,nan
1978-01,nan
1978-02,nan
1978-03,nan
1978-04,nan
1978-05,nan
1978-06,nan
1978-07,nan
1978-08,nan
1978-09,nan
1978-10,nan
1978-11,nan
1978-12,nan
1979-01,nan
1979-02,nan
1979-03,nan
1979-04,nan
1979-05,nan
1979-06,nan
1979-07,nan
1979-08,nan
1979-09,nan
1979-10,nan
1979-11,nan
1979-12,0.593
1980-01,nan
1980-02,nan
1980-03,nan
1980-04,nan
1980-05,nan
1980-06,nan
1980-07,nan
1980-08,nan
1980-09,nan
1980-10,nan
1980-11,nan
1980-12,nan
1981-01,nan
1981-02,nan
1981-03,nan
1981-04,nan
1981-05,nan
1981-06,nan
1981-07,nan
1981-08,nan
1981-09,nan
1981-10,nan
1981-11,nan
1981-12,nan
1982-01,nan
1982-02,nan
1982-03,nan
1982-04,nan
1982-05,nan
1982-06,nan
1982-07,nan
1982-08,nan
1982-09,nan
1982-10,nan
1982-11,nan
1982-12,nan
1983-01,nan
1983-02,nan
1983-03,nan
1983-04,nan
1983-05,nan
1983-06,nan
1983-07,nan
1983-08,nan
1983-09,nan
1983-10,nan
1983-11,nan
1983-12,nan
1984-01,nan
1984-02,nan
1984-03,nan
1984-04,nan
1984-05,nan
1984-06,nan
1984-07,nan
1984-08,nan
1984-09,nan
1984-10,nan
1984-11,nan
1984-12,4.197
1985-01,nan
1985-02,nan
1985-03,nan
1985-04,nan
1985-05,nan
1985-06,nan
1985-07,nan
1985-08,nan
1985-09,nan
1985-10,nan
1985-11,nan
1985-12,nan
1986-01,nan
1986-02,nan
1986-03,nan
1986-04,nan
1986-05,nan
1986-06,nan
1986-07,nan
1986-08,nan
1986-09,nan
1986-10,nan
1986-11,nan
1986-12,nan
1987-01,nan
1987-02,nan
1987-03,nan
1987-04,nan
1987-05,nan
1987-06,nan
1987-07,nan
1987-08,nan
1987-09,nan
1987-10,nan
1987-11,nan
1987-12,nan
1988-01,nan
1988-02,nan
1988-03,nan
1988-04,nan
1988-05,nan
1988-06,nan
1988-07,nan
1988-08,nan
1988-09,nan
1988-10,nan
1988-11,nan
1988-12,nan
1989-01,nan
1989-02,nan
1989-03,nan
1989-04,nan
1989-05,nan
1989-06,nan
1989-07,nan
1989-08,nan
1989-09,nan
1989-10,nan
1989-11,nan
1989-12,8.547
1990-01,nan
1990-02,nan
1990-03,nan
1990-04,nan
1990-05,nan
1990-06,nan
1990-07,nan
1990-08,nan
1990-09,nan
1990-10,nan
1990-11,nan
1990-12,nan
1991-01,nan
1991-02,nan
1991-03,nan
1991-04,nan
1991-05,nan
1991-06,nan
1991-07,nan
1991-08,nan
1991-09,nan
1991-10,nan
1991-11,nan
1991-12,nan
1992-01,nan
1992-02,nan
1992-03,nan
1992-04,nan
1992-05,nan
1992-06,nan
1992-07,nan
1992-08,nan
1992-09,nan
1992-10,nan
1992-11,nan
1992-12,nan
1993-01,nan
1993-02,nan
1993-03,nan
1993-04,nan
1993-05,nan
1993-06,nan
1993-07,nan
1993-08,nan
1993-09,nan
1993-10,nan
1993-11,nan
1993-12,nan
1994-01,nan
1994-02,nan
1994-03,nan
1994-04,nan
1994-05,nan
1994-06,nan
1994-07,nan
1994-08,nan
1994-09,nan
1994-10,nan
1994-11,nan
1994-12,7.808
1995-01,nan
1995-02,nan
1995-03,nan
1995-04,nan
1995-05,nan
1995-06,nan
1995-07,nan
1995-08,nan
1995-09,nan
1995-10,nan
1995-11,nan
1995-12,nan
1996-01,nan
1996-02,nan
1996-03,nan
1996-04,nan
1996-05,nan
1996-06,nan
1996-07,nan
1996-08,nan
1996-09,nan
1996-10,nan
1996-11,nan
1996-12,nan
1997-01,nan
1997-02,nan
1997-03,nan
1997-04,nan
1997-05,nan
1997-06,nan
1997-07,nan
1997-08,nan
1997-09,nan
1997-10,nan
1997-11,nan
1997-12,nan
1998-01,nan
1998-02,nan
1998-03,nan
1998-04,nan
1998-05,nan
1998-06,nan
1998-07,nan
1998-08,nan
1998-09,nan
1998-10,nan
1998-11,nan
1998-12,nan
1999-01,nan
1999-02,nan
1999-03,nan
1999-04,nan
1999-05,nan
1999-06,nan
1999-07,nan
1999-08,nan
1999-09,nan
1999-10,nan
1999-11,nan
1999-12,5.579
2000-01,nan
2000-02,nan
2000-03,nan
2000-04,nan
2000-05,nan
2000-06,nan
2000-07,nan
2000-08,nan
2000-09,nan
2000-10,nan
2000-11,nan
2000-12,nan
2001-01,nan
2001-02,nan
2001-03,nan
2001-04,nan
2001-05,nan
2001-06,nan
2001-07,nan
2001-08,nan
2001-09,nan
2001-10,nan
2001-11,nan
2001-12,nan
2002-01,nan
2002-02,nan
2002-03,nan
2002-04,nan
2002-05,nan
2002-06,nan
2002-07,nan
2002-08,nan
2002-09,nan
2002-10,nan
2002-11,nan
2002-12,nan
2003-01,nan
2003-02,nan
2003-03,nan
2003-04,nan
2003-05,nan
2003-06,nan
2003-07,nan
2003-08,nan
2003-09,nan
2003-10,nan
2003-11,nan
2003-12,nan
2004-01,nan
2004-02,nan
2004-03,nan
2004-04,nan
2004-05,nan
2004-06,nan
2004-07,nan
2004-08,nan
2004-09,nan
2004-10,nan
2004-11,nan
2004-12,3.908
2005-01,nan
2005-02,nan
2005-03,nan
2005-04,nan
2005-05,nan
2005-06,nan
2005-07,nan
2005-08,nan
2005-09,nan
2005-10,nan
2005-11,nan
2005-12,nan
2006-01,nan
2006-02,nan
2006-03,nan
2006-04,nan
2006-05,nan
2006-06,nan
2006-07,nan
2006-08,nan
2006-09,nan
2006-10,nan
2006-11,nan
2006-12,nan
2007-01,nan
2007-02,nan
2007-03,nan
2007-04,nan
2007-05,nan
2007-06,nan
2007-07,nan
2007-08,nan
2007-09,nan
2007-10,nan
2007-11,nan
2007-12,nan
2008-01,nan
2008-02,nan
2008-03,nan
2008-04,nan
2008-05,nan
2008-06,nan
2008-07,nan
2008-08,nan
2008-09,nan
2008-10,nan
2008-11,nan
2008-12,nan
2009-01,nan
2009-02,nan
2009-03,nan
2009-04,nan
2009-05,nan
2009-06,nan
2009-07,nan
2009-08,nan
2009-09,nan
2009-10,nan
2009-11,nan
2009-12,2.710
2010-01,nan
2010-02,nan
2010-03,nan
2010-04,nan
2010-05,nan
2010-06,nan
2010-07,nan
2010-08,nan
2010-09,nan
2010-10,nan
2010-11,nan
2010-12,nan
2011-01,nan
2011-02,nan
2011-03,nan
2011-04,nan
2011-05,nan
2011-06,nan
2011-07,nan
2011-08,nan
2011-09,nan
2011-10,nan
2011-11,nan
2011-12,nan
2012-01,nan
2012-02,nan
2012-03,nan
2012-04,nan
2012-05,nan
2012-06,nan
2012-07,nan
2012-08,nan
2012-09,nan
2012-10,nan
2012-11,nan
2012-12,nan
2013-01,nan
2013-02,nan
2013-03,nan
2013-04,nan
2013-05,nan
2013-06,nan
2013-07,nan
2013-08,nan
2013-09,nan
2013-10,nan
2013-11,nan
2013-12,nan
2014-01,nan
2014-02,nan
2014-03,nan
2014-04,nan
2014-05,nan
2014-06,nan
2014-07,nan
2014-08,nan
2014-09,nan
2014-10,nan
2014-11,nan
2014-12,1.864
2015-01,nan
2015-02,nan
2015-03,nan
2015-04,nan
2015-05,nan
2015-06,nan
2015-07,nan
2015-08,nan
2015-09,nan
2015-10,nan
2015-11,nan
2015-12,nan
2016-01,nan
2016-02,nan
2016-03,nan
2016-04,nan
2016-05,nan
2016-06,nan
2016-07,nan
2016-08,nan
2016-09,nan
2016-10,nan
2016-11,nan
2016-12,nan
2017-01,nan
2017-02,nan
2017-03,nan
2017-04,nan
2017-05,nan
2017-06,nan
2017-07,nan
2017-08,nan
2017-09,nan
2017-10,nan
2017-11,nan
2017-12,nan
2018-01,nan
2018-02,nan
2018-03,nan
2018-04,nan
2018-05,nan
2018-06,nan
2018-07,nan
2018-08,nan
2018-09,nan
2018-10,nan
2018-11,nan
2018-12,nan
2019-01,nan
2019-02,nan
2019-03,nan
2019-04,nan
2019-05,nan
2019-06,nan
2019-07,nan
2019-08,nan
2019-09,nan
2019-10,nan
2019-11,nan
2019-12,1.280
